기관코드,전체기관명,최하위기관명,폐지구분,등록자
7530023,경기도교육청 경기도공업계고등학교공동실습소,경기도공업계고등학교공동실습소,현존,
7530045,경기도교육청 경기과학고등학교,경기과학고등학교,현존,
7530046,경기도교육청 경기체육고등학교,경기체육고등학교,현존,
7530047,경기도교육청 계남고등학교,계남고등학교,현존,
7530048,경기도교육청 과천고등학교,과천고등학교,현존,
7530049,경기도교육청 관인고등학교,관인고등학교,현존,
7530050,경기도교육청 광명고등학교,광명고등학교,현존,
7530051,경기도교육청 광명북고등학교,광명북고등학교,현존,
7530053,경기도교육청 광문고등학교,광문고등학교,현존,
7530054,경기도교육청 구리고등학교,구리고등학교,현존,
7530055,경기도교육청 구리여자고등학교,구리여자고등학교,현존,
7530057,경기도교육청 권선고등학교,권선고등학교,현존,
7530058,경기도교육청 김포고등학교,김포고등학교,현존,
7530059,경기도교육청 남한고등학교,남한고등학교,현존,
7530060,경기도교육청 능곡고등학교,능곡고등학교,현존,
7530063,경기도교육청 동안고등학교,동안고등학교,현존,
7530064,경기도교육청 무원고등학교,무원고등학교,현존,
7530065,경기도교육청 문산고등학교,문산고등학교,현존,
7530066,경기도교육청 백마고등학교,백마고등학교,현존,
7530067,경기도교육청 백석고등학교,백석고등학교,현존,
7530068,경기도교육청 백신고등학교,백신고등학교,현존,
7530069,경기도교육청 백운고등학교,백운고등학교,현존,
7530070,경기도교육청 부명고등학교,부명고등학교,현존,
7530071,경기도교육청 부천고등학교,부천고등학교,현존,
7530072,경기도교육청 부천북고등학교,부천북고등학교,현존,
7530073,경기도교육청 부천여자고등학교,부천여자고등학교,현존,
7530074,경기도교육청 부흥고등학교,부흥고등학교,현존,
7530075,경기도교육청 분당고등학교,분당고등학교,현존,
7530076,경기도교육청 분당중앙고등학교,분당중앙고등학교,현존,
7530077,경기도교육청 불곡고등학교,불곡고등학교,현존,
7530079,경기도교육청 산본고등학교,산본고등학교,현존,
7530081,경기도교육청 서현고등학교,서현고등학교,현존,
7530082,경기도교육청 서해고등학교,서해고등학교,현존,
7530083,경기도교육청 설악고등학교,설악고등학교,현존,
7530085,경기도교육청 성남여자고등학교,성남여자고등학교,현존,
7530086,경기도교육청 성호고등학교,성호고등학교,현존,
7530087,경기도교육청 소사고등학교,소사고등학교,현존,
7530088,경기도교육청 소하고등학교,소하고등학교,현존,
7530089,경기도교육청 수내고등학교,수내고등학교,현존,
7530090,경기도교육청 수리고등학교,수리고등학교,현존,
7530091,경기도교육청 수성고등학교,수성고등학교,현존,
7530092,경기도교육청 수원여자고등학교,수원여자고등학교,현존,
7530093,경기도교육청 수지고등학교,수지고등학교,현존,
7530094,경기도교육청 숙지고등학교,숙지고등학교,현존,
7530095,경기도교육청 심원고등학교,심원고등학교,현존,
7530096,경기도교육청 안성고등학교,안성고등학교,현존,
7530097,경기도교육청 안성여자고등학교,안성여자고등학교,현존,
7530098,경기도교육청 안양고등학교,안양고등학교,현존,
7530101,경기도교육청 영덕고등학교,영덕고등학교,현존,
7530102,경기도교육청 용인고등학교,용인고등학교,현존,
7530104,경기도교육청 용호고등학교,용호고등학교,현존,
7530105,경기도교육청 원곡고등학교,원곡고등학교,현존,
7530106,경기도교육청 원미고등학교,원미고등학교,현존,
7530107,경기도교육청 원종고등학교,원종고등학교,현존,
7530108,경기도교육청 은행고등학교,은행고등학교,현존,
7530109,경기도교육청 의정부고등학교,의정부고등학교,현존,
7530110,경기도교육청 의정부여자고등학교,의정부여자고등학교,현존,
7530111,경기도교육청 이매고등학교,이매고등학교,현존,
7530112,경기도교육청 이천고등학교,이천고등학교,현존,
7530113,경기도교육청 이포고등학교,이포고등학교,현존,
7530114,경기도교육청 인창고등학교,인창고등학교,현존,
7530115,경기도교육청 일산동고등학교,일산동고등학교,현존,
7530116,경기도교육청 장호원고등학교,장호원고등학교,현존,
7530117,경기도교육청 저동고등학교,저동고등학교,현존,
7530119,경기도교육청 정발고등학교,정발고등학교,현존,
7530120,경기도교육청 정왕고등학교,정왕고등학교,현존,
7530122,경기도교육청 주엽고등학교,주엽고등학교,현존,
7530123,경기도교육청 중산고등학교,중산고등학교,현존,
7530124,경기도교육청 중원고등학교,중원고등학교,현존,
7530125,경기도교육청 중흥고등학교,중흥고등학교,현존,
7530126,경기도교육청 청명고등학교,청명고등학교,현존,
7530127,경기도교육청 청운고등학교,청운고등학교,현존,
7530128,경기도교육청 충현고등학교,충현고등학교,현존,
7530129,경기도교육청 태장고등학교,태장고등학교,현존,
7530130,경기도교육청 퇴계원고등학교,퇴계원고등학교,현존,
7530131,경기도교육청 평촌고등학교,평촌고등학교,현존,
7530132,경기도교육청 평택고등학교,평택고등학교,현존,
7530133,경기도교육청 포천고등학교,포천고등학교,현존,
7530134,경기도교육청 함현고등학교,함현고등학교,현존,
7530135,경기도교육청 행신고등학교,행신고등학교,현존,
7530136,경기도교육청 한솔고등학교,한솔고등학교,현존,
7530137,경기도교육청 화수고등학교,화수고등학교,현존,
7530138,경기도교육청 화정고등학교,화정고등학교,현존,
7530139,경기도교육청 효원고등학교,효원고등학교,현존,
7530140,경기도교육청 흥진고등학교,흥진고등학교,현존,
7530141,경기도교육청 경민고등학교,경민고등학교,현존,
7530143,경기도교육청 경안고등학교,경안고등학교,현존,
7530144,경기도교육청 계원예술고등학교,계원예술고등학교,현존,
7530145,경기도교육청 과천여자고등학교,과천여자고등학교,현존,
7530146,경기도교육청 과천외국어고등학교,과천외국어고등학교,현존,
7530148,경기도교육청 군포고등학교,군포고등학교,현존,
7530149,경기도교육청 낙생고등학교,낙생고등학교,현존,
7530150,경기도교육청 대신고등학교,대신고등학교,현존,
7530151,경기도교육청 덕소고등학교,덕소고등학교,현존,
7530153,경기도교육청 동두천고등학교,동두천고등학교,현존,
7530154,경기도교육청 동우여자고등학교,동우여자고등학교,현존,
7530155,경기도교육청 동원고등학교,동원고등학교,현존,
7530156,경기도교육청 동화고등학교,동화고등학교,현존,
7530157,경기도교육청 백영고등학교,백영고등학교,현존,
7530160,경기도교육청 분당대진고등학교,분당대진고등학교,현존,
7530163,경기도교육청 삼광고등학교,삼광고등학교,현존,
7530164,경기도교육청 서울삼육고등학교,서울삼육고등학교,현존,
7530167,경기도교육청 성일고등학교,성일고등학교,현존,
7530168,경기도교육청 성일여자고등학교,성일여자고등학교,현존,
7530169,경기도교육청 세원고등학교,세원고등학교,현존,
7530170,경기도교육청 소명여자고등학교,소명여자고등학교,현존,
7530171,경기도교육청 송림고등학교,송림고등학교,현존,
7530172,경기도교육청 송탄여자고등학교,송탄여자고등학교,현존,
7530173,경기도교육청 수원경성고등학교,수원경성고등학교,현존,
7530174,경기도교육청 수원고등학교,수원고등학교,현존,
